model,config_weighting,config_prompting,weight_factor,prompt_id,answer,time_spent,flesch_kincaid_grade,gunning_fog,smog_index,spache_readability,word_count,difficult_words
Qwen3,False,True,"1,5",P1,,"0,0","0,0","0,0","0,0","0,0",0,0
Qwen3,False,True,"1,5",P1,,"0,0","0,0","0,0","0,0","0,0",0,0
Qwen3,False,True,"1,5",P2,,"0,0","0,0","0,0","0,0","0,0",0,0
Qwen3,False,True,"1,5",P2,,"0,0","0,0","0,0","0,0","0,0",0,0
Qwen3,False,True,"1,5",P3,,"0,0","0,0","0,0","0,0","0,0",0,0
Qwen3,False,True,"1,5",P3,,"0,0","0,0","0,0","0,0","0,0",0,0
Qwen3,False,True,"1,5",P4,,"0,0","0,0","0,0","0,0","0,0",0,0
Qwen3,False,True,"1,5",P4,,"0,0","0,0","0,0","0,0","0,0",0,0
Qwen3,False,True,"1,5",P5,,"0,0","0,0","0,0","0,0","0,0",0,0
Qwen3,False,True,"1,5",P5,,"0,0","0,0","0,0","0,0","0,0",0,0
