id,model_short,model_id,source_file,experiment_id,timestamp,config_name,prompt_id,config_prompting,config_weighting,weight_factor,anon_model_code
1,Phi3,microsoft/Phi-3-mini-4k-instruct-gguf,src/evaluation/experiment_framework/results/Phi3/full_data/Phi3_full_experiment_full_1023_0034.csv,1aac2c7e-24cc-4096-bedc-4c3923b54cb3,2025-10-23T00:29:34.131806,Phi3_control,P1,False,False,1.5,M3
2,Phi3,microsoft/Phi-3-mini-4k-instruct-gguf,src/evaluation/experiment_framework/results/Phi3/full_data/Phi3_full_experiment_full_1023_0034.csv,b9c4a403-005a-4e25-b8ef-fbd433083518,2025-10-23T00:29:39.024765,Phi3_weighted,P1,False,True,1.5,M3
3,Phi3,microsoft/Phi-3-mini-4k-instruct-gguf,src/evaluation/experiment_framework/results/Phi3/full_data/Phi3_full_experiment_full_1023_0034.csv,718f92e1-3f57-413b-8d66-46066d939d90,2025-10-23T00:29:46.414175,Phi3_prompted,P1,True,False,1.5,M3
4,Phi3,microsoft/Phi-3-mini-4k-instruct-gguf,src/evaluation/experiment_framework/results/Phi3/full_data/Phi3_full_experiment_full_1023_0034.csv,fbd28562-4885-4745-a51e-a0d5931669b4,2025-10-23T00:29:50.548237,Phi3_weighted_prompted,P1,True,True,1.5,M3
5,Phi3,microsoft/Phi-3-mini-4k-instruct-gguf,src/evaluation/experiment_framework/results/Phi3/full_data/Phi3_full_experiment_full_1023_0034.csv,f8b1adc6-aece-4c54-a981-fb636b78bddf,2025-10-23T00:30:03.097243,Phi3_control,P2,False,False,1.5,M3
6,Phi3,microsoft/Phi-3-mini-4k-instruct-gguf,src/evaluation/experiment_framework/results/Phi3/full_data/Phi3_full_experiment_full_1023_0034.csv,de051564-3f39-4500-8b78-7e95dcf100f6,2025-10-23T00:30:10.365256,Phi3_weighted,P2,False,True,1.5,M3
7,Phi3,microsoft/Phi-3-mini-4k-instruct-gguf,src/evaluation/experiment_framework/results/Phi3/full_data/Phi3_full_experiment_full_1023_0034.csv,164839ff-b304-4381-8686-354e67885415,2025-10-23T00:30:16.352664,Phi3_prompted,P2,True,False,1.5,M3
8,Phi3,microsoft/Phi-3-mini-4k-instruct-gguf,src/evaluation/experiment_framework/results/Phi3/full_data/Phi3_full_experiment_full_1023_0034.csv,fb4c69d8-98b3-47d8-a5f9-850397e6cb3f,2025-10-23T00:30:20.877741,Phi3_weighted_prompted,P2,True,True,1.5,M3
9,Phi3,microsoft/Phi-3-mini-4k-instruct-gguf,src/evaluation/experiment_framework/results/Phi3/full_data/Phi3_full_experiment_full_1023_0034.csv,c097efc5-df65-43e6-a0a6-d09efc0a750b,2025-10-23T00:30:27.508849,Phi3_control,P3,False,False,1.5,M3
10,Phi3,microsoft/Phi-3-mini-4k-instruct-gguf,src/evaluation/experiment_framework/results/Phi3/full_data/Phi3_full_experiment_full_1023_0034.csv,743923a2-78d7-4f1c-8588-1f30054421a0,2025-10-23T00:30:34.734112,Phi3_weighted,P3,False,True,1.5,M3
11,Phi3,microsoft/Phi-3-mini-4k-instruct-gguf,src/evaluation/experiment_framework/results/Phi3/full_data/Phi3_full_experiment_full_1023_0034.csv,8e6c410c-133f-4060-8369-041ecc2e7012,2025-10-23T00:30:38.340689,Phi3_prompted,P3,True,False,1.5,M3
12,Phi3,microsoft/Phi-3-mini-4k-instruct-gguf,src/evaluation/experiment_framework/results/Phi3/full_data/Phi3_full_experiment_full_1023_0034.csv,0011cee1-59a1-4994-96ec-c541f9d56e37,2025-10-23T00:30:42.743294,Phi3_weighted_prompted,P3,True,True,1.5,M3
13,Phi3,microsoft/Phi-3-mini-4k-instruct-gguf,src/evaluation/experiment_framework/results/Phi3/full_data/Phi3_full_experiment_full_1023_0034.csv,775b3e3a-cc93-4d8e-b4ea-4113daffdadd,2025-10-23T00:30:47.799283,Phi3_control,P4,False,False,1.5,M3
14,Phi3,microsoft/Phi-3-mini-4k-instruct-gguf,src/evaluation/experiment_framework/results/Phi3/full_data/Phi3_full_experiment_full_1023_0034.csv,bbf6ab43-b02a-4b7f-b6bd-02f4ff2254d3,2025-10-23T00:30:53.248766,Phi3_weighted,P4,False,True,1.5,M3
15,Phi3,microsoft/Phi-3-mini-4k-instruct-gguf,src/evaluation/experiment_framework/results/Phi3/full_data/Phi3_full_experiment_full_1023_0034.csv,1c0241ea-e24b-4018-95e5-9c6c7391567f,2025-10-23T00:30:56.443669,Phi3_prompted,P4,True,False,1.5,M3
16,Phi3,microsoft/Phi-3-mini-4k-instruct-gguf,src/evaluation/experiment_framework/results/Phi3/full_data/Phi3_full_experiment_full_1023_0034.csv,742e07e7-768f-44bc-a048-b9ceacc792de,2025-10-23T00:31:02.861894,Phi3_weighted_prompted,P4,True,True,1.5,M3
