model,config_weighting,config_prompting,weight_factor,prompt_id,answer,time_spent,flesch_kincaid_grade,gunning_fog,smog_index,automated_readability_index,coleman_liau_index,dale_chall_readability_score,flesch_reading_ease,linsear_write_formula,spache_readability,mcalpine_eflaw,sentence_count,word_count,character_count,syllable_count,polysyllable_count,monosyllable_count,difficult_words,reading_time_seconds,reading_time_minutes
Phi3,True,False,"1,5",P1,"The word 'library' refers to a place where a collection of books, magazines, and other informational materials are kept for people to read, borrow, or use for research and study. Libraries can be found in many types of institutions such as schools, universities, and public buildings. They serve as a valuable resource for knowledge and information, often organized in a systematic and accessible manner to facilitate easy access to the materials they house. In modern times, libraries have also become digital hubs, where electronic resources are available for users to access from their personal devices.","4,9","15,04","17,92","16,53","0,0","0,0","0,0","0,0","0,0","6,9","0,0",0,95,0,0,0,0,28,"7,52","0,13"
Phi3,True,False,"2,0",P1,"The word 'library' refers to a place where a collection of books, periodicals, and other materials like maps and records are kept for people to read, study, and borrow. Libraries can be public or private and may also house digital and multimedia resources. They play a putative role in providing access to information, fostering a love for reading and learning, and supporting educational and research activities. Additionally, many libraries offer various programs and services to the community, such as storytelling for children, computer and internet access, and workshops on a wide range of subjects.","4,2","15,29","18,76","16,83","0,0","0,0","0,0","0,0","0,0","7,08","0,0",0,94,0,0,0,0,31,"7,51","0,13"
Phi3,True,False,"4,0",P1,"A library is a place where a collection of books and other informational resources like magazines, newspapers, and digital media like e-books and online databases are stored and made available for people to read and learn from. Libraries may be part of a school or a stand-alone establishment open to the public in a community for the purpose of lending and borrowing these resources or for people to read and learn in a quiet and well-organized environment. They play a critical role in the dissemination of knowledge and the promotion of literacy and lifelong learning in a society.","4,3","17,14","21,64","18,6","0,0","0,0","0,0","0,0","0,0","7,9","0,0",0,98,0,0,0,0,27,"7,15","0,12"
Qwen2,True,False,"1,5",P1,"The word 'library' generally refers to a collection of books, periodicals, and other materials for reading, borrowing, and displaying. It is a place of instruction, learning, and access to a wide range of knowledge, often housed in buildings or libraries. Libraries are often used to support education, research, and cultural activities.","6,9","12,79","16,21","15,02","0,0","0,0","0,0","0,0","0,0","6,44","0,0",0,51,0,0,0,0,19,"4,22","0,07"
Qwen2,True,False,"2,0",P1,"The word 'library' generally refers to a collection of books, journals, and other reading materials, often housed in a structured facility. It is a place for learning, reading, and research, providing access to a vast array of knowledge. Libraries are typically used by students, teachers, and adults to study, research, and access information, making them a vital resource for education and personal growth. Libraries also serve as a social gathering place, where community members can meet, discuss, and share books, literature, and other resources.","1,4","13,53","15,54","14,55","0,0","0,0","0,0","0,0","0,0","7,18","0,0",0,84,0,0,0,0,30,"6,87","0,11"
Qwen2,True,False,"4,0",P1,"The word 'library' can refer to a collection of books, newspapers, magazines, and other printed materials, often organized, cataloged, and maintained for public use. It's a place where a library's books, collections, and resources are housed, displayed, and accessible. Libraries are typically open, educational, and, sometimes, cultural centers, providing access to a wide range of information, learning, and entertainment.","1,1","14,68","19,39","17,12","0,0","0,0","0,0","0,0","0,0","7,11","0,0",0,59,0,0,0,0,24,"5,38","0,09"
Qwen3,True,False,"1,5",P1,,"302,2","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0,0,0,0,0,0,0,"0,0","0,0"
Qwen3,True,False,"2,0",P1,,"300,5","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0,0,0,0,0,0,0,"0,0","0,0"
Qwen3,True,False,"4,0",P1,"The word ""library"" means a place, often a physical space, where books, magazines, and other materials are","202,5","10,48","13,86","14,55","0,0","0,0","0,0","0,0","0,0","4,75","0,0",0,17,0,0,0,0,3,"1,31","0,02"
SmolLM,True,False,"1,5",P1,,"1181,8","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0,0,0,0,0,0,0,"0,0","0,0"
SmolLM,True,False,"2,0",P1,,"303,1","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0,0,0,0,0,0,0,"0,0","0,0"
SmolLM,True,False,"4,0",P1,,"301,3","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0,0,0,0,0,0,0,"0,0","0,0"
